iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
0	0.8396542857	1.515211633	0.5358398431	0.9537291517	0.902091445	0.9690052277	0.8797828811	0.6415861881	0.9680673819
1	0.8418330612	1.27834551	0.5768108704	0.9684101373	0.9020802017	0.9670595262	0.8797688028	0.6095043534	0.9647566779
2	0.8433987755	1.114636327	0.5758257157	0.9636341816	0.9021000063	0.9738079061	0.8797561327	0.6087656008	0.974337352
3	0.8480073469	0.9898795918	0.5918496672	0.9649256774	0.9021000063	0.9739191703	0.8797688028	0.6301409729	0.9747344038
4	0.850624898	0.8916481633	0.6018033887	0.975145851	0.9021011713	0.9739205265	0.8797688028	0.6328327573	0.9737486394
5	0.85188	0.8110578571	0.6013315232	0.9820401807	0.9021023363	0.9739041803	0.8797688028	0.6377490411	0.973325985
6	0.8502526531	0.7408502551	0.5899279262	0.9857910906	0.9021174818	0.974161981	0.8797688028	0.6369280888	0.9594842635
7	0.851082449	0.6842747449	0.5923407296	0.9863312127	0.902146609	0.9744727925	0.8797688028	0.640553504	0.9583089227
8	0.8546897959	0.6345228061	0.6154274789	0.9858954444	0.9021046664	0.9745827777	0.8797688028	0.6359302897	0.9737096954
9	0.8518902041	0.5895069898	0.5863289456	0.986444251	0.9021174818	0.9749101644	0.8800433867	0.648959574	0.9599409215
10	0.8533938776	0.5521016327	0.5789835765	0.9896943459	0.9021310559	0.9767059346	0.8800362198	0.65883922	0.9614951625
11	0.8530702041	0.5196156122	0.5815663081	0.9905159085	0.9021310559	0.9751210632	0.879767395	0.6576103795	0.9598182951
12	0.8566220408	0.4909754082	0.598883425	0.9899891257	0.9021287257	0.9751278595	0.8798175854	0.6591714527	0.9738321015
13	0.8576730612	0.4649020918	0.6012926757	0.9909589784	0.9021275607	0.9766417182	0.8798175854	0.6604666749	0.9756731651
14	0.8590836735	0.4419375	0.6038880459	0.9914267583	0.9021275607	0.9789186005	0.8798172008	0.6638799918	0.977058914
15	0.859624898	0.4213519388	0.5976389416	0.991763259	0.9021345511	0.9791008846	0.8798172008	0.6710687321	0.9775853271
16	0.8623155102	0.4027964541	0.6153238693	0.9929832494	0.9021411349	0.9790721077	0.8797670102	0.6740738727	0.9776508203
17	0.8650771429	0.3856124235	0.6233893868	0.9936965228	0.9021411349	0.9846159909	0.8794592336	0.674647203	0.9835481882
18	0.8635346939	0.371237551	0.618069812	0.9945905317	0.9021376396	0.979313376	0.8795052291	0.6787600329	0.9772273602
19	0.8653804082	0.357232551	0.6099176649	0.9952168513	0.9021376396	0.9853835515	0.8794550105	0.6850429882	0.9831983972
20	0.8661265306	0.3449089286	0.6118708277	0.995248246	0.9021318142	0.9860126358	0.8795062511	0.6867321281	0.9846968605
21	0.8684244898	0.3332810969	0.6222529484	0.9970499708	0.9021353094	0.9858347201	0.8795126534	0.6924466903	0.9845641307
22	0.8693261224	0.3224969388	0.6244649226	0.9970812874	0.9021353094	0.9859222808	0.8795080445	0.6962342117	0.9845138425
23	0.8720163265	0.3133614541	0.6347727269	0.9971965137	0.9021353094	0.9922056926	0.8797393507	0.7004353176	0.9849442524
24	0.8718253061	0.306225051	0.634637995	0.9971823029	0.9021318142	0.9921606666	0.8794602555	0.6999547311	0.9844426096
25	0.8722118367	0.2992097194	0.6360755307	0.9966092608	0.9021353094	0.9921648876	0.8794560323	0.7011125219	0.9852687059
26	0.8726216327	0.2923734439	0.6332689484	0.9970428255	0.9021294841	0.9935358722	0.8796281922	0.7021912154	0.9874204734
27	0.8736053061	0.2862646684	0.6376418684	0.9970200692	0.9021294841	0.994227621	0.87968736	0.7043185697	0.9876811286
28	0.8743016327	0.2813239031	0.6419892046	0.9970826682	0.9021399698	0.9945724797	0.87968736	0.7051956265	0.9876222589
29	0.8747987755	0.2762621939	0.6428703258	0.9975011666	0.902176089	0.9951241853	0.8796823664	0.7069383084	0.9876572995
30	0.8753546939	0.2720982398	0.6434474018	0.9976919552	0.9021819149	0.9952442395	0.8796837742	0.7096862314	0.9875479811
31	0.8811746939	0.2675307653	0.6438387239	0.9977806481	0.9156402346	0.9953532709	0.9068389437	0.7108283931	0.9878381486
32	0.8834587755	0.2644282398	0.6486218737	0.9980897667	0.9156414763	0.9953674326	0.906913278	0.7204249368	0.988160757
33	0.8839673469	0.2607380612	0.6484369329	0.9981268168	0.9156340263	0.9953745136	0.9068372917	0.7235248101	0.9881004272
34	0.8840620408	0.2582773724	0.6484402882	0.9981439178	0.9156340263	0.9953971734	0.9068372917	0.7240422404	0.9880849952
35	0.8844502041	0.2550191071	0.6487673718	0.9981439178	0.9156402346	0.9955232376	0.9069149298	0.7256513354	0.9884372457
36	0.8849595918	0.2524167602	0.6527006302	0.9982383358	0.9156365096	0.995476491	0.9069105372	0.7259605493	0.9884695362
37	0.8861383673	0.2500872194	0.6529508686	0.9982426211	0.915631543	0.9959200524	0.9069154924	0.7321364949	0.9885636118
38	0.8878657143	0.2474821684	0.6600781076	0.9982426211	0.9195486462	0.9959357753	0.9126406839	0.7288716653	0.9894228421
39	0.8889436735	0.246242449	0.668878359	0.9982426211	0.919553671	0.9959400286	0.9126406839	0.729243035	0.9894692006
40	0.8892281633	0.2440363265	0.6688278607	0.9982525819	0.9195561834	0.9968894228	0.9126569814	0.730327158	0.989575982
41	0.8896138776	0.2416394388	0.6638209477	0.9982896514	0.9195612082	0.9983404325	0.9126518304	0.7334033341	0.9910681242
42	0.8895530612	0.2407184184	0.6692660187	0.9983224327	0.9195637206	0.9969320651	0.9126597172	0.7318305913	0.9896054915
43	0.8899040816	0.2397899745	0.671191002	0.9983224183	0.9195674893	0.9969888918	0.9126597172	0.7325362935	0.9896054915
44	0.8902130612	0.2375727041	0.6595347802	0.998522005	0.9195624644	0.9984715699	0.9126776438	0.7391482491	0.9911116909
45	0.8906644898	0.2357117092	0.6614093098	0.9985562279	0.9195662331	0.9984672339	0.9126803796	0.7396534128	0.9918540444
46	0.8912040816	0.2339497959	0.6715041369	0.998499041	0.9195725142	0.9984829088	0.9127917084	0.7360861479	0.9921745774
