iter	Passed	Remaining
0	121	60811
1	245	61163
2	356	58991
3	464	57612
4	573	56790
5	693	57085
6	803	56559
7	916	56337
8	1028	56083
9	1138	55781
10	1245	55366
11	1353	55025
12	1461	54746
13	1568	54453
14	1677	54235
15	1782	53931
16	1892	53758
17	2005	53690
18	2115	53546
19	2228	53477
20	2337	53310
21	2446	53148
22	2557	53041
23	2669	52947
24	2767	52579
25	2872	52361
26	2976	52142
27	3075	51845
28	3166	51436
29	3264	51151
30	3368	50959
31	3464	50669
32	3558	50353
33	3655	50104
34	3748	49800
35	3848	49604
36	3936	49259
37	4032	49021
38	4129	48807
39	4209	48403
40	4307	48222
41	4405	48036
42	4488	47698
43	4567	47331
44	4665	47176
45	4763	47010
46	4860	46845
47	4945	46566
48	5031	46307
49	5118	46065
50	5206	45838
51	5310	45751
52	5403	45573
53	5484	45298
54	5581	45160
55	5667	44937
56	5771	44854
57	5862	44677
58	5941	44409
59	6031	44230
60	6123	44069
61	6220	43944
62	6306	43744
63	6397	43586
64	6496	43479
65	6594	43364
66	6679	43169
67	6764	42976
68	6866	42893
69	6957	42738
70	7049	42594
71	7137	42428
72	7232	42307
73	7313	42100
74	7403	41955
75	7503	41862
76	7593	41715
77	7699	41655
78	7793	41533
79	7889	41419
80	7986	41311
81	8071	41146
82	8169	41045
83	8262	40919
84	8347	40756
85	8431	40589
86	8521	40450
87	8609	40307
88	8717	40256
89	8814	40154
90	8911	40051
91	8995	39891
92	9090	39784
93	9189	39690
94	9281	39569
95	9365	39413
96	9465	39325
97	9556	39199
98	9640	39047
99	9734	38938
100	9826	38819
101	9919	38705
102	10011	38589
103	10096	38444
104	10186	38320
105	10292	38258
106	10382	38135
107	10479	38034
108	10574	37933
109	10656	37781
110	10756	37694
111	10842	37563
112	10920	37401
113	11013	37290
114	11107	37187
115	11200	37077
116	11300	36992
117	11392	36879
118	11472	36732
119	11563	36618
120	11648	36486
121	11741	36377
122	11834	36273
123	11912	36122
124	11999	35998
125	12096	35906
126	12196	35821
127	12285	35705
128	12363	35557
129	12447	35427
130	12532	35302
131	12631	35214
132	12721	35103
133	12813	34997
134	12892	34858
135	12981	34744
136	13069	34630
137	13145	34483
138	13237	34380
139	13336	34292
140	13425	34181
141	13516	34077
142	13620	34003
143	13716	33909
144	13812	33817
145	13899	33701
146	13983	33578
147	14061	33442
148	14155	33346
149	14235	33217
150	14317	33090
151	14415	33005
152	14519	32929
153	14605	32814
154	14688	32694
155	14773	32577
156	14872	32492
157	14971	32406
158	15079	32340
159	15176	32249
160	15267	32148
161	15357	32042
162	15457	31958
163	15549	31858
164	15643	31760
165	15739	31669
166	15817	31539
167	15900	31423
168	15998	31333
169	16094	31242
170	16190	31150
171	16282	31049
172	16372	30947
173	16451	30822
174	16547	30731
175	16635	30625
176	16721	30514
177	16810	30409
178	16906	30318
179	16986	30198
180	17065	30076
181	17161	29985
182	17261	29900
183	17356	29807
184	17431	29680
185	17522	29580
186	17621	29495
187	17719	29407
188	17807	29302
189	17889	29187
190	17972	29076
191	18060	28972
192	18142	28859
193	18222	28742
194	18311	28640
195	18392	28526
196	18470	28408
197	18553	28298
198	18629	28178
199	18706	28060
200	18782	27939
201	18862	27827
202	18944	27716
203	19023	27602
204	19097	27482
205	19180	27374
206	19269	27274
207	19361	27181
208	19462	27098
209	19538	26981
210	19626	26881
211	19705	26770
212	19780	26652
213	19870	26555
214	19955	26452
215	20039	26348
216	20116	26234
217	20200	26131
218	20288	26032
219	20391	25952
220	20468	25840
221	20560	25746
222	20635	25631
223	20720	25531
224	20805	25429
225	20880	25315
226	20956	25203
227	21031	25089
228	21111	24983
229	21199	24886
230	21276	24776
231	21350	24663
232	21434	24562
233	21526	24470
234	21600	24357
235	21687	24260
236	21773	24162
237	21847	24050
238	21934	23953
239	22013	23848
240	22104	23755
241	22179	23645
242	22252	23535
243	22344	23443
244	22418	23333
245	22491	23223
246	22565	23113
247	22640	23005
248	22726	22909
249	22804	22804
250	22879	22697
251	22962	22598
252	23040	22494
253	23114	22386
254	23190	22281
255	23265	22174
256	23339	22067
257	23428	21975
258	23502	21869
259	23581	21767
260	23673	21678
261	23747	21572
262	23834	21477
263	23909	21373
264	23983	21268
265	24072	21176
266	24149	21074
267	24245	20988
268	24319	20884
269	24394	20780
270	24468	20676
271	24543	20572
